epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.184,1.59862,1.86912,1.6475,0.45784,0.51499,0.47113,0.25203,1.88927,2.06764,1.94098,0.000553164,0.000553164,0.000553164
2,297.262,1.64718,1.91923,1.68196,0.60123,0.48342,0.50407,0.24156,1.99199,2.06856,2.03199,0.00109053,0.00109053,0.00109053
3,447.281,1.70457,1.99247,1.72403,0.5872,0.42989,0.44759,0.22052,2.02887,2.28303,2.13031,0.00160957,0.00160957,0.00160957
4,595.913,1.70752,1.98955,1.72881,0.53879,0.41837,0.44211,0.21332,2.00483,2.25374,2.10313,0.00158448,0.00158448,0.00158448
5,742.951,1.71078,1.97584,1.72198,0.58662,0.49782,0.49953,0.26331,1.84195,2.09442,1.93638,0.00155698,0.00155698,0.00155698
6,890.491,1.68285,1.96061,1.71192,0.58298,0.53978,0.526,0.27225,1.87262,1.90931,1.9652,0.00152947,0.00152947,0.00152947
7,1038.13,1.65741,1.88104,1.67361,0.61278,0.52954,0.56112,0.30902,1.82602,1.86158,1.92426,0.00150197,0.00150197,0.00150197
8,1185.94,1.64552,1.88807,1.67803,0.62737,0.56068,0.56075,0.30394,1.85843,1.81266,1.91221,0.00147446,0.00147446,0.00147446
9,1332.94,1.61813,1.80887,1.65569,0.72172,0.45268,0.52973,0.27932,1.956,2.01514,2.01856,0.00144696,0.00144696,0.00144696
10,1478.7,1.59773,1.79492,1.63906,0.64046,0.5152,0.55777,0.31456,1.78781,1.83548,1.85231,0.00141945,0.00141945,0.00141945
11,1627.3,1.58138,1.78568,1.6328,0.61206,0.54894,0.57411,0.30714,1.80873,1.79187,1.87744,0.00139195,0.00139195,0.00139195
12,1775.43,1.58794,1.75347,1.62249,0.72926,0.56526,0.62663,0.35711,1.74842,1.63412,1.84909,0.00136444,0.00136444,0.00136444
13,1922.51,1.5539,1.71374,1.60272,0.64054,0.56365,0.60675,0.35078,1.72819,1.7517,1.84928,0.00133693,0.00133693,0.00133693
14,2078.16,1.54514,1.68919,1.59636,0.69458,0.56628,0.61834,0.35515,1.72579,1.68268,1.81749,0.00130943,0.00130943,0.00130943
15,2224.8,1.55859,1.72289,1.60311,0.6474,0.54402,0.5933,0.33858,1.79997,1.74109,1.89475,0.00128192,0.00128192,0.00128192
